 <-1> 06/12/2024 02:54:50.387     [Error  ] - License MGDEMO 4_612345675_MGDEMO (2 consumed, 1 allowed)
 <-1> 06/12/2024 02:54:50.390     [Error  ] - <-- 10.9.8.187, 1
 <-1> 06/12/2024 02:54:50.392     [Error  ] - <-- 10.9.1.60RDP-Tcp#41, 1
 <-1> 06/12/2024 02:57:02.826     [Error  ] - License MGDEMO 4_612345675_MGDEMO (2 consumed, 1 allowed)
 <-1> 06/12/2024 02:57:02.828     [Error  ] - <-- 10.9.8.187, 1
 <-1> 06/12/2024 02:57:02.829     [Error  ] - <-- 10.9.1.60RDP-Tcp#41, 1
 <-1> 06/12/2024 02:59:20.923     [Error  ] - License MGDEMO 4_612345675_MGDEMO (2 consumed, 1 allowed)
 <-1> 06/12/2024 02:59:20.927     [Error  ] - <-- 10.9.8.187, 1
 <-1> 06/12/2024 02:59:20.929     [Error  ] - <-- 10.9.1.60RDP-Tcp#41, 1
 <-1> 06/12/2024 03:02:53.453     [Error  ] - License MGDEMO 4_612345675_MGDEMO (2 consumed, 1 allowed)
 <-1> 06/12/2024 03:02:53.456     [Error  ] - <-- 10.9.1.60RDP-Tcp#41, 1
 <-1> 06/12/2024 03:02:53.458     [Error  ] - <-- 10.9.8.187, 1
